Category,Product,Package Type,Weight,Price
ORGANIC SPICE & MASALA,Fennel Sharbat masala,Brown Pouch,0.1,70
ORGANIC SPICE & MASALA,Red Chilli Flakes,Glass Bottle,0.04,70
ORGANIC SPICE & MASALA,Red Chilli Flakes,Brown Pouch,0.1,160
ORGANIC SPICE & MASALA,Chaat Masala,Brown Pouch,0.1,75
ORGANIC SPICE & MASALA,Chaat Masala,Brown Pouch,0.2,135
ORGANIC SPICE & MASALA,Chaat Masala,Glass Bottle,0.08,70
ORGANIC SPICE & MASALA,Chaat Masala,Glass Bottle,0.5,320
ORGANIC SPICE & MASALA,Ajwain Powder,Brown Pouch,0.1,70
ORGANIC SPICE & MASALA,Ajwain Powder,Brown Pouch,0.2,130
ORGANIC SPICE & MASALA,Ajwain Powder,Glass Bottle,0.06,55
ORGANIC SPICE & MASALA,Fenugreek Powder,Glass Bottle,0.08,45
ORGANIC SPICE & MASALA,Fenugreek Powder,Brown Pouch,0.1,40
ORGANIC SPICE & MASALA,Fenugreek Powder,Brown Pouch,0.2,70
FLOURS-FRESHLY MILLED,"Presoaked Mix Millet Flour (Foxtail, Barnyard, Little , Kodu, Finger Millet)",KG Bag,5,1465
FLOURS-FRESHLY MILLED,"Presoaked Mix Millet Flour (Foxtail, Barnyard, Little , Kodu, Finger Millet)",Brown Pouch,1,345
FLOURS-FRESHLY MILLED,"Mix grain Flour (Jowar, Bajra, Ragi, Khapli)",Brown Pouch,1,150
ORGANIC SPICE & MASALA,Guntur Chilli,Brown Pouch,0.1,80
ORGANIC SPICE & MASALA,Guntur Chilli,Brown Pouch,0.2,140
ORGANIC SPICE & MASALA,Byadagi Chilli,Brown Pouch,0.2,200
ORGANIC SPICE & MASALA,Byadagi Chilli,Brown Pouch,0.1,110
ORGANIC SPICE & MASALA,Star Anise Whole,Brown Pouch,0.1,130
ORGANIC SPICE & MASALA,Star Anise Whole,Brown Pouch,0.2,230
ORGANIC SPICE & MASALA,Star Anise Whole,Glass Bottle,0.05,85
ORGANIC SPICE & MASALA,Star Anise Powder,Glass Bottle,0.05,75
ORGANIC SPICE & MASALA,Mumbai PavBhaji Masala,Brown Pouch,0.05,60
ORGANIC SPICE & MASALA,Mumbai PavBhaji Masala,Brown Pouch,0.1,115
ORGANIC SPICE & MASALA,Mumbai PavBhaji Masala,Brown Pouch,0.6,570
ORGANIC SPICE & MASALA,Biryani Masala,Brown Pouch,0.05,85
ORGANIC SPICE & MASALA,Biryani Masala,Brown Pouch,0.1,160
ORGANIC SPICE & MASALA,Biryani Masala,Brown Pouch,0.6,835
ORGANIC SPICE & MASALA,Mughlai Korma Masala,Brown Pouch,0.05,80
ORGANIC SPICE & MASALA,Mughlai Korma Masala,Brown Pouch,0.1,150
ORGANIC SPICE & MASALA,Mughlai Korma Masala,Brown Pouch,0.6,790
ORGANIC SPICE & MASALA,Amritsari Chole Masala,Brown Pouch,0.05,65
ORGANIC SPICE & MASALA,Amritsari Chole Masala,Brown Pouch,0.1,125
ORGANIC SPICE & MASALA,Amritsari Chole Masala,Brown Pouch,0.6,590
ORGANIC SPICE & MASALA,Chilli Flakes (Medium Spicy),Glass Bottle,0.04,85
ORGANIC SPICE & MASALA,Chilli Flakes (Medium Spicy),Brown Pouch,0.1,180
ORGANIC OTHER,Brown Sugar (Shakkar),Brown Pouch,0.5,100
ORGANIC OTHER,Brown Sugar (Shakkar),Brown Pouch,1,170
ORGANIC OTHER,Brown Sugar (Shakkar),Brown Pouch,2,305
ORGANIC OTHER,Brown Sugar (Shakkar),Brown Pouch,5,730
ORGANIC OTHER,Red Rice Rava,Brown Pouch,0.5,95
ORGANIC OTHER,Red Rice Rava,Brown Pouch,1,160
ORGANIC OTHER,Red Rice Rava,Brown Pouch,2,285
ORGANIC OTHER,Red Rice Rava,Brown Pouch,5,675
FLOURS-FRESHLY MILLED,"7 Grain Flour (wheat, jowar, bajra, ragi, brown chana, amaranth, and barley)",Brown Pouch,0.5,90
FLOURS-FRESHLY MILLED,"7 Grain Flour (wheat, jowar, bajra, ragi, brown chana, amaranth, and barley)",Brown Pouch,1,150
FLOURS-FRESHLY MILLED,"7 Grain Flour (wheat, jowar, bajra, ragi, brown chana, amaranth, and barley)",Brown Pouch,2,275
